a-descriptionID,type,title,text,reply_list,reply_list2,reply_list3
d00000,image,,https://dlms.iiiedu.org.tw/eng/img/d00000.png,,,
d00001,text,,"【公會姐姐】：
歡迎你來到冒險者公會，勇者！
請問您怎麼稱呼？",r00001,,
d00002,text,,"【公會姐姐】：
勇者 $username 您好！",r00000,,
d00003,button,請問我可以幫您什麼呢？,.,r00002,r00003,r00004
d00100,text,,"【公會姐姐】：
唉... 近年來天災人禍不斷，我們瑟賽斯大陸中的每一個領地都遇到了不少困難。",r00000,,
d00101,text,,"【公會姐姐】：
尤其是三大領地，怪物領主「Arthur」、妖魔領主「Charles」和精靈領主「Helena」都祭出了豐厚的獎賞，希望來自世界各地的勇者都可以幫忙平息他們領地內的紛紛擾擾。",r00000,,
d00200,text,,"【公會姐姐】：
那真是真是太好了！
我會推薦您接三大領地開出來的任務，但是詳細任務內容得要到現場才會知道喔！是不是很神秘啊～",r00000,,
d00201,button,那請問您想要去哪一個領地呢？,不同的領地有不同的難度喔～,r00200,r00201,r00202
d00202,text,,"【公會姐姐】：
了解！
那請您往這裡站，稍後直接將您傳送到怪物領地。",r00000,,
d00203,confirm,,您走過去時...,r00203,r00204,
d00204,text,,"【公會姐姐】：
不用緊張，我相信您一定可以的！
歡迎您再度光臨冒險者公會，祝您任務順利～",r00000,,
d00205,text,,"傳送中...
眼睛睜著還是只看得見一片黑暗。",r00000,,
d00206,confirm,,您覺得...,r00205,r00206,
d00207,text,,"當您還在思考時，眼前突然出現了一束刺眼的光！
突如其來的刺激讓您不禁抬起了手、試圖擋住那刺眼的光芒...",r00000,,
